Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;1;31367;25000;25.04.2011;Blackburn;Man City
E0;1;30089;26858;26.04.2011;Stoke;Wolves
E0;1;25800;25043;27.04.2011;Fulham;Bolton
E0;1;31367;25000;30.04.2011;Blackburn;Bolton
E0;1;16220;15780;30.04.2011;Blackpool;Stoke
E0;1;42000;41435;30.04.2011;Chelsea;Tottenham
E0;1;48707;40011;30.04.2011;Sunderland;Fulham
E0;1;26850;24683;30.04.2011;West Brom;Aston Villa
E0;1;25133;16812;30.04.2011;Wigan;Everton
E0;1;60704;60025;01.05.2011;Arsenal;Man United
E0;1;29409;25462;01.05.2011;Birmingham;Wolves
E0;1;45000;42820;01.05.2011;Liverpool;Newcastle
E0;1;48000;45905;01.05.2011;Man City;West Ham
E0;1;42682;37194;07.05.2011;Aston Villa;Wigan
E0;1;28723;22870;07.05.2011;Bolton;Sunderland
E0;1;39571;35934;07.05.2011;Everton;Man City
E0;1;52338;47718;07.05.2011;Newcastle;Birmingham
E0;1;36284;35704;07.05.2011;Tottenham;Blackpool
E0;1;35345;33404;07.05.2011;West Ham;Blackburn
E0;1;75800;75109;08.05.2011;Man United;Chelsea
E0;1;30089;26858;08.05.2011;Stoke;Arsenal
E0;1;32050;27696;08.05.2011;Wolves;West Brom
E0;1;25800;25043;09.05.2011;Fulham;Liverpool
E0;1;48000;45905;10.05.2011;Man City;Tottenham
E0;1;31367;25000;14.05.2011;Blackburn;Man United
E0;1;16220;15780;14.05.2011;Blackpool;Bolton
E0;1;48707;40011;14.05.2011;Sunderland;Wolves
E0;1;26850;24683;14.05.2011;West Brom;Everton
E0;1;60704;60025;15.05.2011;Arsenal;Aston Villa
E0;1;29409;25462;15.05.2011;Birmingham;Fulham
E0;1;42000;41435;15.05.2011;Chelsea;Newcastle
E0;1;45000;42820;15.05.2011;Liverpool;Tottenham
E0;1;25133;16812;15.05.2011;Wigan;West Ham
E0;1;48000;45905;17.05.2011;Man City;Stoke
E0;1;42682;37194;22.05.2011;Aston Villa;Liverpool
E0;1;28723;22870;22.05.2011;Bolton;Man City
E0;1;39571;35934;22.05.2011;Everton;Chelsea
E0;1;25800;25043;22.05.2011;Fulham;Arsenal
E0;1;75800;75109;22.05.2011;Man United;Blackpool
E0;1;52338;47718;22.05.2011;Newcastle;West Brom
E0;1;30089;26858;22.05.2011;Stoke;Wigan
E0;1;36284;35704;22.05.2011;Tottenham;Birmingham
E0;1;35345;33404;22.05.2011;West Ham;Sunderland
E0;1;32050;27696;22.05.2011;Wolves;Blackburn
